ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,yhat_pct
2053-01-01,8094.396456391225,8275.071093187225,9487.399547033265,8075.176152797853,8112.892461739565,754.5628921300802,754.5628921300802,754.5628921300802,754.5628921300802,754.5628921300802,754.5628921300802,0.0,0.0,0.0,8848.959348521304,22.893970246949134
2054-01-01,8206.257130693064,8346.096465774748,9566.505776813261,8186.00918018926,8225.658647900926,752.2519017659852,752.2519017659852,752.2519017659852,752.2519017659852,752.2519017659852,752.2519017659852,0.0,0.0,0.0,8958.50903245905,22.896949284289597
2055-01-01,8318.117804994901,8484.403359081212,9683.151355914983,8297.085426924385,8338.624239272822,770.6374492968473,770.6374492968473,770.6374492968473,770.6374492968473,770.6374492968473,770.6374492968473,0.0,0.0,0.0,9088.75525429175,22.95212271605411
2056-01-01,8429.97847929674,8629.450947789315,9820.69525775139,8408.117731431388,8451.243931960204,809.7044684279685,809.7044684279685,809.7044684279685,809.7044684279685,809.7044684279685,809.7044684279685,0.0,0.0,0.0,9239.682947724708,23.05760305065713
2057-01-01,8542.145621199406,8650.981722461536,9895.359861079814,8519.312135382761,8564.344513507363,754.5628921300971,754.5628921300971,754.5628921300971,754.5628921300971,754.5628921300971,754.5628921300971,0.0,0.0,0.0,9296.708513329504,22.929023780680375
2058-01-01,8654.006295501247,8784.648359236364,9995.82304931917,8630.038931603029,8677.069004366052,752.2519017660995,752.2519017660995,752.2519017660995,752.2519017660995,752.2519017660995,752.2519017660995,0.0,0.0,0.0,9406.258197267347,22.9314607210037
2059-01-01,8765.866969803083,8962.596096539437,10197.797389289282,8740.79202393043,8789.82814114974,770.6374492967473,770.6374492967473,770.6374492967473,770.6374492967473,770.6374492967473,770.6374492967473,0.0,0.0,0.0,9536.50441909983,22.98372232842026
2060-01-01,8877.727644104925,9067.899627150171,10335.808881618908,8851.66684777212,8902.381048981764,809.704468427949,809.704468427949,809.704468427949,809.704468427949,809.704468427949,809.704468427949,0.0,0.0,0.0,9687.432112532875,23.084086481573433
2061-01-01,8989.89478600759,9105.392369739382,10369.373689620195,8963.014384496128,9015.235035496202,754.5628921304519,754.5628921304519,754.5628921304519,754.5628921304519,754.5628921304519,754.5628921304519,0.0,0.0,0.0,9744.457678138042,22.960949085554795
2062-01-01,9101.755460309429,9195.203568536233,10471.129830804593,9074.180858171325,9128.114246511795,752.2519017661632,752.2519017661632,752.2519017661632,752.2519017661632,752.2519017661632,752.2519017661632,0.0,0.0,0.0,9854.007362075592,22.96292628367867
2063-01-01,9213.616134611268,9412.874969880177,10608.033901391536,9185.338954290764,9241.121098663523,770.6374492967044,770.6374492967044,770.6374492967044,770.6374492967044,770.6374492967044,770.6374492967044,0.0,0.0,0.0,9984.253583907972,23.012563487062522
2064-01-01,9325.476808913107,9501.66245658072,10743.667203935342,9296.444304495642,9354.234904710893,809.7044684287952,809.7044684287952,809.7044684287952,809.7044684287952,809.7044684287952,809.7044684287952,0.0,0.0,0.0,10135.181277341902,23.108283024179606
2065-01-01,9437.643950815775,9550.836950104465,10792.61537249714,9407.591111265887,9467.58891681567,754.5628921302907,754.5628921302907,754.5628921302907,754.5628921302907,754.5628921302907,754.5628921302907,0.0,0.0,0.0,10192.206842946065,22.9901470263012
2066-01-01,9549.50462511761,9669.403172181785,10918.762261557937,9518.41104566375,9580.560833386913,752.2519017660436,752.2519017660436,752.2519017660436,752.2519017660436,752.2519017660436,752.2519017660436,0.0,0.0,0.0,10301.756526883653,22.99173215976662
2067-01-01,9661.36529941945,9806.771732427937,11037.9838169365,9629.678623222193,9693.442007862754,770.6374492969045,770.6374492969045,770.6374492969045,770.6374492969045,770.6374492969045,770.6374492969045,0.0,0.0,0.0,10432.002748716355,23.03899228058502
2068-01-01,9773.22597372129,9978.24555649212,11194.97968429531,9740.72104458218,9806.352334766621,809.7044684285755,809.7044684285755,809.7044684285755,809.7044684285755,809.7044684285755,809.7044684285755,0.0,0.0,0.0,10582.930442149865,23.1304766333958
